,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
114,5700,-16.4331213210218,-28.0143912170784,-23.2075629157978,-31.8585843365351,-52.2673110797396,-59.9652143087984,-122.904355916762,-57.9497903058843
115,5750,-75.3271104299365,-44.2070153299018,-16.885295826504,-42.8409599825392,-60.1848635964936,-60.6946937479836,-97.4112451181146,-41.4351686887891
116,5800,-66.6433886299671,-60.086047478663,-46.6240493737281,-48.1668687265057,-39.2379729498485,-70.1580202949222,-36.4580787220276,-38.210071084317
117,5850,-73.2613806376132,-35.0467625266132,-18.0593981254317,-53.0896266120894,-57.7278493313487,-64.4548667309419,-115.221917340725,-49.7789250953312
118,5900,-73.4136396127368,-23.8241774602075,-17.6238031588701,-43.0201386302429,-57.6770766047757,-71.8344631588017,-23.1240465907043,-56.6890599967524
119,5950,-88.3361593195019,-68.8390599894304,-34.4370296613877,-40.6315392627355,-63.4193462520289,-67.0840295013323,-115.665069422085,-49.4069234191833
120,6000,-19.4203318408584,-32.7064780369631,-15.8999458467695,-45.9764826749835,-63.5220433792085,-65.5785234636836,-118.084705045541,-48.9693795872081
121,6050,-88.6876910495402,-28.5399506916632,-16.2063211564112,-38.7438716843183,-60.8335009198963,-62.4371277509649,-52.1491339488156,-39.2934797638578
122,6100,-47.1930719062438,-52.4810332691909,-17.0849836014333,-26.9642499790727,-53.1001619726618,-59.9230314770738,-31.2701167975301,-50.8008572361241
123,6150,-71.9514926572967,-46.0637293351777,-16.5680047375049,-36.1159334679313,-52.9728295584389,-55.2156463005993,-116.795808642784,-53.8718123691318
124,6200,-72.3531186790801,-28.7375368603025,-17.6000742016403,-23.0168519092367,-34.368514335699,-72.308530609755,-58.480839938265,-41.6720629383527
125,6250,-52.6111383905266,-45.6422916163551,-17.9329009572975,-54.5624016967272,-63.9457430057014,-21.8428249709437,-39.8629964499353,-42.8620173153761
126,6300,-57.2722329134065,-29.75984769396,-21.2995612591131,-48.9605631532019,-57.8227839995326,-50.4340351380319,-71.4606316278424,-48.5932696531996
127,6350,-55.6872360785115,-28.9501139059061,-30.3596032500829,-44.2694649476545,-59.1183294713183,-62.873522025081,-114.541464950856,-38.2911708885228
128,6400,-90.9237843362395,-60.2890119964418,-16.4034133392537,-39.830506929136,-61.8191739008914,-69.8990844238432,-125.536529870778,-53.2965108461041
129,6450,-62.3059353728883,-23.7951735527639,-16.7682965269705,-33.0391159241302,-62.908694101585,-66.6088003822435,-68.8847947251365,-35.0833732769421
